S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
469,S048,HERPES SIMPLEX VIRUS 2 IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,115,550,20.9%
470,P024,HERPES SIMPLEX VIRUS- DNA PCR,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma,CSF in a sterile, leak - proof screw capped, plastic container",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,2450,3850,63.6%
471,P195,HEV RNA QUANTITATIVE ASSSAY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Taqman Real Time PCR assay,4.30 PM,3rd Working Day,2450,3850,63.6%
472,C110,HIGH SENSITIVE CRP (HSCRP),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,5.30 PM,Same Day,230,650,35.4%
473,S140,HISTONE ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1950,2850,68.4%
474,P005,HIV - QUANTITATIVE (VIRAL LOAD),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,2400,3850,62.3%
475,S237,HIV 1 & 2 ANTIBODY - Qualitative,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Please Send Sample With Signed  HIV Consent Form,Chromatograp hy,5.30 PM,Same Day,175,450,38.9%
476,S050,HIV 1 & 2 ANTIBODY by ELISA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Please Send Sample With Signed  HIV Consent Form,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,200,500,40.0%
477,S049,HIV 1 WESTERN BLOT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Please Send Sample With Signed  HIV Consent Form,Blotting,4.30 PM,Next day Evening Except Sunday,1350,2850,47.4%
478,S123,"HIV 1,2 AND 3",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Please Send Sample With Signed  HIV Consent Form,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,230,650,35.4%
479,S118,HIV AG & AB - 4TH GENERATION,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Please Send Sample With Signed  HIV Consent Form,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,800,43.8%
480,C313,HIV P24 ANTIGEN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,700,1450,48.3%
481,P007,HIV-DNA PCR - QUALITATIVE,"2 ml. (1 ml. Minimum) EDTA, Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,2050,3050,67.2%
482,P030,HIV-I DRUG RESISTANCE ASSAY (PI),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR/Gene Sequencing,4.30 PM,22nd Working Day,5150,8500,60.6%
483,P029,HIV-I DRUG RESISTANCE ASSAY (RT),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR/Gene Sequencing,4.30 PM,22nd Working Day,10500,15500,67.7%
484,P006,HIV-RNA PCR - QUALITATIVE,"2 ml. (1 ml. Minimum) EDTA, Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,1850,2850,64.9%
485,H190,HLA - DR4 (DRB1*04),2 ml. (1 ml. Minimum) Whole Blood from EDTA or Heparin .,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry/PCR,4.30 PM,2nd Working Day,3850,6500,59.2%
486,H035,HLA B-27,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Flow Cytometry,4.30 PM,Next day Evening Except Sunday,950,1850,51.4%
487,P034,HLA B-27 - PCR,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,1600,3050,52.5%
488,C335,HOMA -IR,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Hexokinase, Electrochemilu minisence",4.30 PM,Next day Evening Except Sunday,550,1150,47.8%
489,C111,HOMOCYSTEINE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,525,1050,50.0%
490,C296,HUMAN EPIDIDYMIS PROTEIN 4 (HE-4),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Chemiflex,4.30 PM,3rd Working Day,1550,2850,54.4%
491,P036,HUMAN PAPILOMA VIRUS (16&18) DNA BY REAL TIME PCR,Cervical Scrapings,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,1150,2050,56.1%
492,A044,IHC-  BETA HUMAN CHORIONIC GONADOTROPIN (BHCG),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,,,1225,1750,70.0%
493,A028,IHC - CD99,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
494,A054,IHC - CHROMOGRANIN,Sections/Blocks,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
495,A018,IHC - CLUSTER OF DIFFERENTIATION 10 (CD10),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
496,A027,IHC - CLUSTER OF DIFFERENTIATION 117 (CD117),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
497,A019,IHC - CLUSTER OF DIFFERENTIATION 15 (CD15),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
498,A113,IHC - CLUSTER OF DIFFERENTIATION 19 (CD19),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
499,A021,IHC - CLUSTER OF DIFFERENTIATION 20 (CD20),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
500,A112,IHC - CLUSTER OF DIFFERENTIATION 21 (CD21),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
501,A023,IHC - CLUSTER OF DIFFERENTIATION 23 (CD23),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
502,A016,IHC - CLUSTER OF DIFFERENTIATION 3 (CD3),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
503,A024,IHC - CLUSTER OF DIFFERENTIATION 30 (CD30),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
504,A058,IHC - CLUSTER OF DIFFERENTIATION 43(CD43),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
505,A025,IHC - CLUSTER OF DIFFERENTIATION 45(CD45),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
506,A017,IHC - CLUSTER OF DIFFERENTIATION 5(CD5),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
507,A026,IHC - CLUSTER OF DIFFERENTIATION 68(CD68),Sections/Blocks,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
508,A036,IHC - CYTOKERATIN 5/6,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
509,A035,IHC - CYTOKERATIN 7,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
510,A068,IHC - ER/PR,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1750,2550,68.6%
511,A045,IHC - GROSS CYSTIC DISEASE FLUID PROTEIN (GCDFP),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
512,A041,IHC - HIGH MOLECULAR WEIGHT-KINIOGEN (HMW-K),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
513,A050,IHC - HUMAN MELANOMA BLACK 45 (HMB 45),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
514,A015,IHC - INHIBIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
515,A059,IHC - KI 67-MARKER,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
516,A040,IHC - LOW MOLECULAR WEIGHT-KININOGEN (LMW-K),Sections/Blocks,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
517,A031,IHC - MULTIPLE MYELOMA ONCOGENE 1 (MUM1),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
518,A034,IHC - MYELOPEROXIDASE(MPO),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
519,A048,IHC - NEURON SPECIFIC ENOLASE,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
520,A067,IHC - P - 63,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
521,A043,IHC - PLACENTAL ALKALINE PHOSPHATASE (PLAP),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
522,A049,IHC - S100,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
523,A053,IHC - SMOOTH MUSCLE ACTIN (SMA),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
524,A055,IHC - SYNAPTOPHYSIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
525,A033,IHC - TERMINAL  DEOXYNUCLEOTIDYL TRANSFERASE (TdT),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
526,A051,IHC - THYROGLOBULIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
527,A042,IHC - THYROID TRANSCRIPTION FACTOR,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
528,A047,IHC - VIMENTIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
529,A065,IHC- CARCINOEMBRYONIC ANTIGEN (CEA),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
530,A115,IHC -CK 20,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
531,A116,IHC -DOG1,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
532,A012,IHC -ESTROGEN RECEPTOR / PROGESTERONE RECEPTOR (ER,Paraffin Blocks,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
533,A064,IHC- P53,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
534,A039,IHC- PANCYTOKERATIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
535,A118,IHC1,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
536,A029,IHC-ANAPLASTIC LYMPHOMA KINASE 1(AKL1),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
537,A030,IHC-B-CELL LEUKEMIA/LYMPHOMA 6 (BCL6),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
538,A114,IHC-CD34,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
539,A032,IHC-CYCLIN-D,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
540,A111,IHC-CYTOKERATIN 19,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
541,A037,IHC-CYTOKERATIN 20,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
542,A038,IHC-DESMIN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
543,A063,IHC-EPITHELIAL MEMBRANE ANTIGEN,FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
544,A046,IHC-GLIAL FIBRILLARY ACIDIC PROTEIN (GFAP),FFPE Tissue Block,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
545,C281,IMMUNOFIXATION ELECTROPHORESIS - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",4.30 PM,3rd Working Day,3850,6500,59.2%
546,C112,IMMUNOFIXATION ELECTROPHORESIS-SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Agarose Gel Electrophoresis,4.30 PM,3rd Working Day,3850,6500,59.2%
547,C113,IMMUNOGLOBULIN A (IgA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,4.30 PM,Next day Evening Except Sunday,230,550,41.8%
548,C1281,IMMUNOGLOBULIN G-4,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,NEPHLOMETRY,4.30 PM,2nd Working Day,1750,2850,61.4%
549,C1242,IMMUNOGLOBULIN G4 (IgG4),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,3150,5250,60.0%
550,C1245,"IMMUNOGLOBULIN IgA,IgG,IgM",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,4.30 PM,Next day Evening Except Sunday,650,1450,44.8%
551,C115,IMMUNOGLOBULIN IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,4.30 PM,Next day Evening Except Sunday,230,550,41.8%
552,C116,IMMUNOGLOBULIN IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,4.30 PM,Next day Evening Except Sunday,230,550,41.8%
553,A117,IMMUNOHISTOCHEMISTRY HER2NEU,Tissue,AMBIENT (18-25° C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,1225,1750,70.0%
554,H561,IMMUNOPHENOTYPING FROM BONE MARROW/ PERIPHERAL BLOOD ON FACS CANTO,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,IHC,4.30 PM,5th Working Day,12500,22500,55.6%
555,S052,"INFECTIOUS MONONUCLEOSIS
(Heterophilic antibodies-Monospot test)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Latex Agglutination,4.30 PM,3rd Working Day,575,1550,37.1%
556,S139,INHIBIN B,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,1600,2850,56.1%
557,C117,INSULIN - FASTING,2ml. (1 ml. Minimum) Serum (Fasting),Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,650,35.4%
558,C192,"INSULIN - LIKE GROWTH FACTOR (IGF-I), SOMATOMEDIN- C",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1500,2850,52.6%
559,C219,INSULIN - POST PRANDIAL(PP),2ml. (1 ml. Minimum) Serum (Post Prandial),Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,650,35.4%
560,C314,INSULIN (RANDOM) - HORMONE ASSAYS,2 ml.(1 ml. Minimum) Serum (Random),Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,650,35.4%
561,C285,INSULIN LIKE GROWTH FACTOR BONDING PROTEIN (IGF-BP3),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)/ELISA",4.30 PM,Next day Evening Except Sunday,2300,3650,63.0%
562,C245,INTACT PARATHYROID HORMONE (IPTH),2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,600,1500,40.0%
563,P039,INTERLEUKIN - 28B (RS12979860) GENOTYPING,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,7th Working Day,3250,5150,63.1%
564,P086,INTERLEUKIN 28B RS12979860 GENOTYPING - QUALITATIVE (PCR),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,7th Working Day,3250,5150,63.1%
565,C1326,INTERLUKIN-6 (IL-6),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,4.30 PM,3rd Working Day,2250,3450,65.2%
566,S107,INTRINSIC FACTOR IGG ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1550,2550,60.8%
567,P090,INV 16 MUTATION ASSAY (QUALITATIVE),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,3450,5450,63.3%
568,C118,IRON,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex on test requisition form.,Spectrophotom etry,5.30 PM,Same Day,175,400,43.8%
569,C1296,IRON DEFICIENCY PROFILE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Spectrophotom
etry+ Immunoturbidi metry",5.30 PM,Same Day,350,850,41.2%
570,C1297,IRON PROFILE BASIC,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Spectrophotom
etry+ Immunoturbidi metry",5.30 PM,Same Day,200,600,33.3%
571,C1310,IRON STUDIES (FOR ANEMIA PROFILE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Colorimetric Spectro-photometry,5.30 PM,Same Day,1150,2450,46.9%
572,C318,ISLET CELL ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)/E LISA",4.30 PM,Next day Evening Except Sunday,1750,2850,61.4%
573,P038,JAK2(EXON 12) MUTATION ANALYSIS,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,4500,6850,65.7%
574,S137,JAPANESE ENCEPHALITIES VIRUS ANTIBODY-IGM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunochrom atography,4.30 PM,Next day Evening Except Sunday,800,1850,43.2%
575,P082,JAPANESE ENCEPHALITIES VIRUS by PCR,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,3250,5250,61.9%
576,P203,JC POLIOMA VIRUS DNA BY REAL TIME PCR,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,10th Working Day,3450,5450,63.3%
577,H198,KETONE,"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),Do Not Freeze,Light microscopy,4.30 PM,Same Day,60,150,40.0%
578,M037,KOH PREPARATION FOR FUNGAL ELEMENTS,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional fungal culture and sensitivity,5.30 PM,Next day Evening Except Sunday,150,400,37.5%
579,M032,KOH PREPARATION FOR FUNGAL ELEMENTS (WET MOUNT),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional fungal culture and sensitivity,5.30 PM,Next day Evening Except Sunday,150,400,37.5%
580,C120,LACTATE,"2 ml. (1 ml. Minimum) Plasma from 1 Sodium Fluoride
(Grey Top) tube without
applying tourniquet","FROZEN  (-20°C) in
dry ice.",Separate plasma within2 hours of collection.Avoid sweat contamination,Spectrophotom etry,5.30 PM,Same Day,450,950,47.4%
581,C121,LACTATE - CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container","FROZEN  (-20°C) in
dry ice.",Specify age and sex ontest requisition form.,Spectrophotom etry,5.30 PM,Same Day,450,950,47.4%
582,C122,LACTIC DEHYDEROGENASE (LDH),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,150,350,42.9%
583,C125,LACTIC DEHYDEROGENASE (LDH) - ASCITIC FLUID,2ml. (1 ml. Minimum) ASCITIC FLUID.,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,200,500,40.0%
584,C123,LACTIC DEHYDEROGENASE (LDH) - CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,200,500,40.0%
585,C124,LACTIC DEHYDEROGENASE (LDH) - PLEURAL FLUID,2ml. (1 ml. Minimum) PLUERAL FLUID.,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,200,500,40.0%
586,H036,LE CELLS,(PLASMA) in 1 Sodium Citrate (Light Blue Top) tube/Heparin tube,Refrigerated(2-8°C),,Romanowskyst aining,4.30 PM,Next day Evening Except Sunday,150,350,42.9%
587,C126,LEAD,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),Do Not Freeze,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,3rd Working Day,1050,2050,51.2%
588,C127,LEAD - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,3rd Working Day,1050,2050,51.2%
589,C295,"LEISHMANIA ANTIBODY (KALAAZAR)/rk-
39 Antigen",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,950,2050,46.3%
590,M176,LEPRA-STAIN,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,4.30 PM,3rd Working Day,115,250,46.0%
591,S053,LEPTOSPIRA IgG ANTIBODY - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,700,1600,43.8%
592,S054,LEPTOSPIRA IgM ANTIBODY - INFECTIOUS DISEASES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,700,1600,43.8%
593,C1238,LEUCOCYTE ALKALINE PHOSPHATASE(LAP) SCORE,"5 fresh finger prick unfixed peripheral blood smears to be sent at room temperature +
3-4 ml WB- EDTA",Refrigerated(2-8°C),,Spectrophotom etry& ICT,4.30 PM,2nd Working Day,950,2050,46.3%
594,H087,LEUCOCYTE COMMON ANTIGEN (LCA):CD 45,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
595,C131,LH (LEUTINIZING HORMONE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,115,450,25.6%
596,C1286,LH/FSH RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,900,25.6%
597,C128,LIPASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,280,600,46.7%
598,C129,LIPOPROTEIN A(LP-A),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Nephelometry,4.30 PM,Next day Evening Except Sunday,450,950,47.4%
599,A076,LIQUID BASED CYTOLOGY,Smear,AMBIENT (18-25° C),Brief clinical history mandatory,Hybrid Capture 2 & Microscopy,4.30 PM,Same Day,450,1200,37.5%
600,C130,LITHIUM (LI),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Recommended specimen: just before
the next dose is due
atsteady state",Ion Selective Electrode,5.30 PM,Same Day,150,350,42.9%
601,S083,LIVER-KIDNEY MICROSOME (LKM) - 1 ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
